기관코드,기관명,식별자,제목,발행,source_url,관련여부,매칭키워드,요약여부,갱신일
kedi-brief,교육개발원 브리프,34273,[2021년 12호 | 김창환] 포스트 코로나 시대 교육지표 개발 협력 방안,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34273&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34246,[2021년 11호 | 강성국] 사이버 고등학교 설립 방안,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34246&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34237,[2021년 10호 | 권희경] 심미적 감성 역량의 상황 중심적 평가 도구 ...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34237&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34211,[2021년 9호 | 김현진] 왜 우리는 사회정서역량에 주목해야 하는가?,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34211&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34185,[2021년 8호 | 최인희] 국가 수준의 교원종단연구 수행을 위한 설계 ...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34185&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34156,[2021년 7호 | 김혜진] TALIS 2018 결과로 본 한국 중학교 교사의 협...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34156&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34121,[2021년 6호 | 정미경] 통합운영학교를 중심으로 한 탄력적 교육체제...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34121&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34080,[2021년 5호 | 서영인] 한계대학 현황과 정책적 대응 방안,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34080&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34060,[2021년 4호 | 김태준] 혁신적 포용성장을 위한 지역평생학습체제 구...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34060&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34033,[2021년 3호 | 이희현] 교육복지 지원 기준 개발 및 활용 방안,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34033&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34001,[2021년 2호 | 박성호] 증거기반 교육정책 모니터링을 위한 국가교육...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34001&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33985,[2021년 1호 | 김경애] 교육 분야 양극화 추이 분석 연구,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33985&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33931,[KEDI Brief 2020 No.13] Tasks for the Future of Korean Education...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33931&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33930,[KEDI Brief 2020 No.9] Evaluation of educational welfare policie...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33930&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33928,[KEDI Brief 2020 No.8] Study on capacity-building strategies for...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33928&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33927,[KEDI Brief 2020 No.7] Expanding Lifelong Education in Response ...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33927&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33926,[KEDI Brief 2020 No.5] Korean middle school teacher's self-effic...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33926&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33923,[KEDI Brief 2020 No.2] Democratic citizenship education at prima...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33923&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33922,[KEDI Brief 2020 No.1] National University Governance: The Conce...,,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33922&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33839,[2020년 26호 | 김지수] 김정은 시대 북한 유·초·중등 교육 연구,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33839&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33801,[2020년 25호 | 이쌍철] 교육 분야 감염병(COVID-19) 대응 과제: 수업...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33801&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33785,[2020년 24호 | 강성국] 코로나19 대응 국가 수준 원격교육체제 진단...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33785&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,o,원격,X,2026-07-20
kedi-brief,교육개발원 브리프,33771,[2020년 23호 | 김지하] 대학 재정지원 사업 운영 현황과 과제,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33771&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33742,[2020년 22호 | 이선호] 학교재정운영 자율성 수준이 단위학교 교육비...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33742&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33720,[2020년 21호 | 권희경] 심미적 감성 역량의 개념 및 평가 방안,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33720&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33699,[2020년 20호 | 서영인] 정부의 고등교육재정 투자와 향후 과제,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33699&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33677,"[2020년 19호 | 김현진] 영재학교 졸업생의 대학 진학과 그 후, 창의...",2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33677&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33664,[2020년 18호 | 박성호] 교육통계·지표 국제협력 모델 탐색,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33664&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33635,"[2020년 17호 | 조옥경] 공유·상생의 시대, 공유성장형 대학체제 유...",2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33635&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33615,[2020년 16호 | 안해정] 개발도상국의 고등교육 발전을 위한 상생의 ...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33615&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33604,[2020년 15호 | 이윤서] 사용자 주도 프로젝트를 통해 본 미래형 학습...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33604&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33588,[2020년 14호 | 송승원] 초기 성인기 생활과 성과에 대한 성별에 따른...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33588&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33575,[2020년 13호 | 황은희] 교육혁신 사례 분석을 통한 미래교육 실천 과...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33575&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33550,[2020년 12호 | 최인희] 교원종단 연구 설계 방안,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33550&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33541,[2020년 11호 | 박영숙] 전문성 신장 중심의 교원 인사제도 혁신 방향...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33541&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33529,[2020년 10호 | 최수진] OECD 교육 2030에 비춰 본 국내 역량교육 실...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33529&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33464,[2020년 9호 | 이희현] 한국의 교육복지정책에 대한 평가와 개선과제,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33464&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33446,[2020년 8호 | 한은정] 지방교육자치 역량 강화 방안 연구,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33446&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,33398,[2020년 7호 | 박병영] 사회경제 변화에 대응하는 평생교육 확대 방...,2020,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=33398&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
